                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    110,                0.84857,                0.72634,                0.81347,                0.75367,                0.66211,                0.74235,                0.55973,                0.78384,                   0.68,                0.80591,               0.006436,               0.006436,               0.006436
                    111,                0.85435,                0.73516,                0.81299,                0.71344,                0.69338,                0.74312,                0.56063,                 0.7828,                0.67778,                0.80548,               0.006403,               0.006403,               0.006403
                    112,                0.84925,                0.73516,                0.81292,                0.74595,                0.66878,                0.74329,                0.56104,                0.78155,                  0.675,                0.80531,                0.00637,                0.00637,                0.00637
                    113,                0.84627,                0.73575,                0.81069,                0.76857,                0.65331,                0.74524,                0.56219,                0.78075,                0.67352,                0.80515,               0.006337,               0.006337,               0.006337
                    114,                0.84505,                0.71343,                0.81178,                0.74641,                0.66975,                0.74638,                0.56373,                0.78047,                0.67245,                0.80518,               0.006304,               0.006304,               0.006304
                    115,                0.86345,                0.73637,                0.81525,                0.74413,                0.67466,                0.74638,                0.56437,                0.78089,                0.67211,                 0.8052,               0.006271,               0.006271,               0.006271
                    116,                 0.8509,                0.71281,                0.81086,                 0.7485,                0.66796,                0.74629,                0.56426,                 0.7799,                0.66952,                0.80498,               0.006238,               0.006238,               0.006238
                    117,                0.84617,                 0.7169,                0.81288,                0.72596,                0.68636,                0.74649,                0.56442,                0.77989,                0.66979,                0.80497,               0.006205,               0.006205,               0.006205
                    118,                0.84884,                0.72049,                0.81163,                0.73164,                0.68253,                0.74744,                0.56416,                0.77993,                0.66816,                0.80493,               0.006172,               0.006172,               0.006172
                    119,                0.84147,                0.70495,                0.81371,                0.74077,                0.68033,                0.74791,                0.56475,                0.77896,                0.66814,                0.80482,               0.006139,               0.006139,               0.006139
                    120,                0.83865,                0.70866,                0.81089,                0.74295,                0.67779,                0.74841,                0.56434,                0.77843,                0.66892,                0.80485,               0.006106,               0.006106,               0.006106
                    121,                0.85451,                0.71874,                0.81313,                0.72542,                0.68762,                0.74812,                0.56486,                0.77791,                0.66833,                0.80471,               0.006073,               0.006073,               0.006073
                    122,                 0.8385,                0.70598,                0.80877,                0.72905,                0.69524,                0.74884,                 0.5653,                0.77675,                0.66901,                0.80461,                0.00604,                0.00604,                0.00604
                    123,                0.84181,                0.71209,                0.80994,                0.73684,                0.68372,                0.74828,                0.56534,                0.77662,                0.66741,                0.80443,               0.006007,               0.006007,               0.006007
                    124,                0.84484,                0.71409,                0.81392,                0.73753,                0.68213,                0.74858,                0.56567,                0.77599,                0.66776,                0.80424,               0.005974,               0.005974,               0.005974
                    125,                0.83044,                0.70042,                0.81419,                0.71444,                0.70992,                0.74922,                0.56595,                  0.775,                0.66742,                0.80407,               0.005941,               0.005941,               0.005941
                    126,                0.83258,                0.69268,                0.81167,                0.71882,                0.70598,                0.74899,                0.56606,                0.77374,                0.66718,                0.80397,               0.005908,               0.005908,               0.005908
                    127,                0.83938,                0.69217,                0.81219,                0.71752,                0.70935,                0.74896,                0.56519,                0.77317,                0.66697,                0.80391,               0.005875,               0.005875,               0.005875
                    128,                0.83925,                0.69214,                0.81268,                0.72415,                0.70239,                0.75039,                0.56642,                0.77295,                 0.6656,                0.80387,               0.005842,               0.005842,               0.005842
                    129,                0.83019,                0.68888,                0.81453,                0.72656,                0.70376,                 0.7504,                0.56676,                0.77285,                0.66585,                0.80385,               0.005809,               0.005809,               0.005809
                    130,                0.83357,                0.67285,                0.81035,                0.73076,                0.69885,                0.75102,                0.56661,                0.77277,                0.66411,                0.80387,               0.005776,               0.005776,               0.005776
                    131,                0.82847,                0.68364,                0.81057,                0.72773,                0.70248,                0.75141,                 0.5672,                0.77221,                0.66224,                0.80379,               0.005743,               0.005743,               0.005743
                    132,                 0.8307,                0.66896,                0.81261,                0.72927,                0.70331,                0.75155,                0.56726,                0.77179,                0.66113,                0.80371,                0.00571,                0.00571,                0.00571
                    133,                  0.835,                0.68534,                 0.8103,                 0.7294,                0.70829,                0.75221,                0.56757,                0.77145,                0.66032,                0.80372,               0.005677,               0.005677,               0.005677
